Datum,Helgdag
2026-01-01,Nyårsdagen
2026-01-06,Trettondedag jul
2026-04-03,Långfredagen
2026-04-05,Påskdagen
2026-04-06,Annandag påsk
2026-05-01,Första maj
2026-05-14,Kristi himmelsfärdsdag
2026-05-24,Pingstdagen
2026-06-06,Sveriges nationaldag
2026-06-19,Midsommarafton
2026-06-20,Midsommardagen
2026-10-31,Alla helgons dag
2026-12-24,Julafton
2026-12-25,Juldagen
2026-12-26,Annandag jul
2026-12-31,Nyårsafton
2027-01-01,Nyårsdagen
2027-01-06,Trettondedag jul
2027-03-26,Långfredagen
2027-03-28,Påskdagen
2027-03-29,Annandag påsk
2027-05-01,Första maj
2027-05-06,Kristi himmelsfärdsdag
2027-05-16,Pingstdagen
2027-06-06,Sveriges nationaldag
2027-06-25,Midsommarafton
2027-06-26,Midsommardagen
2027-11-06,Alla helgons dag
2027-12-24,Julafton
2027-12-25,Juldagen
2027-12-26,Annandag jul
2027-12-31,Nyårsafton
2028-01-01,Nyårsdagen
2028-01-06,Trettondedag jul
2028-04-14,Långfredagen
2028-04-16,Påskdagen
2028-04-17,Annandag påsk
2028-05-01,Första maj
2028-05-25,Kristi himmelsfärdsdag
2028-06-04,Pingstdagen
2028-06-06,Sveriges nationaldag
2028-06-23,Midsommarafton
2028-06-24,Midsommardagen
2028-11-04,Alla helgons dag
2028-12-24,Julafton
2028-12-25,Juldagen
2028-12-26,Annandag jul
2028-12-31,Nyårsafton
2029-01-01,Nyårsdagen
2029-01-06,Trettondedag jul
2029-03-30,Långfredagen
2029-04-01,Påskdagen
2029-04-02,Annandag påsk
2029-05-01,Första maj
2029-05-10,Kristi himmelsfärdsdag
2029-05-20,Pingstdagen
2029-06-06,Sveriges nationaldag
2029-06-22,Midsommarafton
2029-06-23,Midsommardagen
2029-11-03,Alla helgons dag
2029-12-24,Julafton
2029-12-25,Juldagen
2029-12-26,Annandag jul
2029-12-31,Nyårsafton
2030-01-01,Nyårsdagen
2030-01-06,Trettondedag jul
2030-04-19,Långfredagen
2030-04-21,Påskdagen
2030-04-22,Annandag påsk
2030-05-01,Första maj
2030-05-30,Kristi himmelsfärdsdag
2030-06-06,Sveriges nationaldag
2030-06-09,Pingstdagen
2030-06-21,Midsommarafton
2030-06-22,Midsommardagen
2030-11-02,Alla helgons dag
2030-12-24,Julafton
2030-12-25,Juldagen
2030-12-26,Annandag jul
2030-12-31,Nyårsafton
2031-01-01,Nyårsdagen
2031-01-06,Trettondedag jul
2031-04-11,Långfredagen
2031-04-13,Påskdagen
2031-04-14,Annandag påsk
2031-05-01,Första maj
2031-05-22,Kristi himmelsfärdsdag
2031-06-01,Pingstdagen
2031-06-06,Sveriges nationaldag
2031-06-20,Midsommarafton
2031-06-21,Midsommardagen
2031-11-01,Alla helgons dag
2031-12-24,Julafton
2031-12-25,Juldagen
2031-12-26,Annandag jul
2031-12-31,Nyårsafton
2032-01-01,Nyårsdagen
2032-01-06,Trettondedag jul
2032-03-26,Långfredagen
2032-03-28,Påskdagen
2032-03-29,Annandag påsk
2032-05-01,Första maj
2032-05-06,Kristi himmelsfärdsdag
2032-05-16,Pingstdagen
2032-06-06,Sveriges nationaldag
2032-06-25,Midsommarafton
2032-06-26,Midsommardagen
2032-11-06,Alla helgons dag
2032-12-24,Julafton
2032-12-25,Juldagen
2032-12-26,Annandag jul
2032-12-31,Nyårsafton
2033-01-01,Nyårsdagen
2033-01-06,Trettondedag jul
2033-04-15,Långfredagen
2033-04-17,Påskdagen
2033-04-18,Annandag påsk
2033-05-01,Första maj
2033-05-26,Kristi himmelsfärdsdag
2033-06-05,Pingstdagen
2033-06-06,Sveriges nationaldag
2033-06-24,Midsommarafton
2033-06-25,Midsommardagen
2033-11-05,Alla helgons dag
2033-12-24,Julafton
2033-12-25,Juldagen
2033-12-26,Annandag jul
2033-12-31,Nyårsafton
2034-01-01,Nyårsdagen
2034-01-06,Trettondedag jul
2034-04-07,Långfredagen
2034-04-09,Påskdagen
2034-04-10,Annandag påsk
2034-05-01,Första maj
2034-05-18,Kristi himmelsfärdsdag
2034-05-28,Pingstdagen
2034-06-06,Sveriges nationaldag
2034-06-23,Midsommarafton
2034-06-24,Midsommardagen
2034-11-04,Alla helgons dag
2034-12-24,Julafton
2034-12-25,Juldagen
2034-12-26,Annandag jul
2034-12-31,Nyårsafton
2035-01-01,Nyårsdagen
2035-01-06,Trettondedag jul
2035-03-23,Långfredagen
2035-03-25,Påskdagen
2035-03-26,Annandag påsk
2035-05-01,Första maj
2035-05-03,Kristi himmelsfärdsdag
2035-05-13,Pingstdagen
2035-06-06,Sveriges nationaldag
2035-06-22,Midsommarafton
2035-06-23,Midsommardagen
2035-11-03,Alla helgons dag
2035-12-24,Julafton
2035-12-25,Juldagen
2035-12-26,Annandag jul
2035-12-31,Nyårsafton
2036-01-01,Nyårsdagen
2036-01-06,Trettondedag jul
2036-04-11,Långfredagen
2036-04-13,Påskdagen
2036-04-14,Annandag påsk
2036-05-01,Första maj
2036-05-22,Kristi himmelsfärdsdag
2036-06-01,Pingstdagen
2036-06-06,Sveriges nationaldag
2036-06-20,Midsommarafton
2036-06-21,Midsommardagen
2036-11-01,Alla helgons dag
2036-12-24,Julafton
2036-12-25,Juldagen
2036-12-26,Annandag jul
2036-12-31,Nyårsafton
2037-01-01,Nyårsdagen
2037-01-06,Trettondedag jul
2037-04-03,Långfredagen
2037-04-05,Påskdagen
2037-04-06,Annandag påsk
2037-05-01,Första maj
2037-05-14,Kristi himmelsfärdsdag
2037-05-24,Pingstdagen
2037-06-06,Sveriges nationaldag
2037-06-19,Midsommarafton
2037-06-20,Midsommardagen
2037-10-31,Alla helgons dag
2037-12-24,Julafton
2037-12-25,Juldagen
2037-12-26,Annandag jul
2037-12-31,Nyårsafton
2038-01-01,Nyårsdagen
2038-01-06,Trettondedag jul
2038-04-23,Långfredagen
2038-04-25,Påskdagen
2038-04-26,Annandag påsk
2038-05-01,Första maj
2038-06-03,Kristi himmelsfärdsdag
2038-06-06,Sveriges nationaldag
2038-06-13,Pingstdagen
2038-06-25,Midsommarafton
2038-06-26,Midsommardagen
2038-11-06,Alla helgons dag
2038-12-24,Julafton
2038-12-25,Juldagen
2038-12-26,Annandag jul
2038-12-31,Nyårsafton
2039-01-01,Nyårsdagen
2039-01-06,Trettondedag jul
2039-04-08,Långfredagen
2039-04-10,Påskdagen
2039-04-11,Annandag påsk
2039-05-01,Första maj
2039-05-19,Kristi himmelsfärdsdag
2039-05-29,Pingstdagen
2039-06-06,Sveriges nationaldag
2039-06-24,Midsommarafton
2039-06-25,Midsommardagen
2039-11-05,Alla helgons dag
2039-12-24,Julafton
2039-12-25,Juldagen
2039-12-26,Annandag jul
2039-12-31,Nyårsafton
2040-01-01,Nyårsdagen
2040-01-06,Trettondedag jul
2040-03-30,Långfredagen
2040-04-01,Påskdagen
2040-04-02,Annandag påsk
2040-05-01,Första maj
2040-05-10,Kristi himmelsfärdsdag
2040-05-20,Pingstdagen
2040-06-06,Sveriges nationaldag
2040-06-22,Midsommarafton
2040-06-23,Midsommardagen
2040-11-03,Alla helgons dag
2040-12-24,Julafton
2040-12-25,Juldagen
2040-12-26,Annandag jul
2040-12-31,Nyårsafton
